support,itemsets
0.11116168512618217,frozenset({'85123A'})
0.02321347291761493,frozenset({'84029G'})
0.021696252465483234,frozenset({'84029E'})
0.019218125727001465,frozenset({'22752'})
0.016841147018661812,frozenset({'71053'})
0.02422495321903606,frozenset({'22633'})
0.019825013907854145,frozenset({'22632'})
0.0735851919283872,frozenset({'84879'})
0.0392960097102109,frozenset({'21754'})
0.03181105547969453,frozenset({'21755'})
0.030344409042633896,frozenset({'48187'})
0.022707732766904364,frozenset({'22749'})
0.02205027057098063,frozenset({'22748'})
0.021392808375056895,frozenset({'22745'})
0.057249785060435945,frozenset({'22960'})
0.05315328983968037,frozenset({'22727'})
0.04956253476963536,frozenset({'22726'})
0.04551661356395084,frozenset({'22629'})
0.04293733879532696,frozenset({'21731'})
0.03959945380063723,frozenset({'22728'})
0.03702017903201335,frozenset({'22326'})
0.03575582865523694,frozenset({'22659'})
0.03069842714813129,frozenset({'21791'})
0.02695595003287311,frozenset({'22900'})
0.020988216254488445,frozenset({'22661'})
0.02002730996813837,frozenset({'22631'})
0.01992616193799626,frozenset({'21035'})
0.019218125727001465,frozenset({'22492'})
0.05866585748242553,frozenset({'22086'})
0.05563141657816214,frozenset({'82482'})
0.04602235371466141,frozenset({'82494L'})
0.030597279117989176,frozenset({'82486'})
0.027461690183583673,frozenset({'82483'})
0.01805492338036717,frozenset({'21871'})
0.016487128913164416,frozenset({'20679'})
0.03747534516765286,frozenset({'21733'})
0.032519091690689325,frozenset({'22114'})
0.0791483335862034,frozenset({'20725'})
0.06675769989379457,frozenset({'21212'})
0.061599150356546804,frozenset({'22386'})
0.059879633844130885,frozenset({'21931'})
0.04718555606129571,frozenset({'85099C'})
0.04394881909674809,frozenset({'21977'})
0.04374652303646386,frozenset({'21929'})
0.041875284478834776,frozenset({'84991'})
0.036514438881302784,frozenset({'20723'})
0.030394983057704952,frozenset({'21975'})
0.02897891063571537,frozenset({'21559'})
0.02665250594244677,frozenset({'21094'})
0.024376675264249227,frozenset({'22352'})
0.018712385576290902,frozenset({'84997B'})
0.016942295048803926,frozenset({'84997C'})
0.015172204521316948,frozenset({'21033'})
0.058767005512567645,frozenset({'22961'})
0.05942446770849138,frozenset({'22411'})
0.04865220249835635,frozenset({'22139'})
0.0409143781924847,frozenset({'21175'})
0.036565012896373844,frozenset({'21166'})
0.03085014919334446,frozenset({'22083'})
0.02538815556567036,frozenset({'21523'})
0.02306175087240176,frozenset({'15056N'})
0.02275830678197542,frozenset({'21169'})
0.02230314064633591,frozenset({'22771'})
